,Unnamed: 0,code,last_modified_datetime,product_name,brands,countries,serving_size,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g
690,1538,10374188259,2017-03-09T16:43:27Z,"The Father's Table, Pumpkin Roll",The Father's Table Llc,US,73.0,e,1548.0,16.44,5.48,0.0,0.055,53.42,39.73,1.4,2.74,0.76454,0.301,0.0001644,0.0016,0.027,0.00049,19.0
691,1539,10374220003,2017-03-09T13:08:49Z,"The Father's Table, New Year Style Cheesecake",The Father's Table  L.L.C.,US,85.0,e,1623.0,23.53,11.76,0.0,0.059,38.82,23.53,1.2,4.71,0.68834,0.271,0.0001764,0.0,0.047,0.00085,21.0
692,1540,10374220010,2017-03-09T11:06:57Z,Strawberry Swirl Cheesecake,The Father's Table  L.L.C.,US,85.0,d,1377.0,17.65,8.24,0.0,0.029,38.82,22.35,1.2,3.53,0.65786,0.259,0.0001764,0.0014,0.047,0.00085,17.0
693,1541,10374222816,2017-03-09T11:16:26Z,Chocolate Roll,The Father's Table,US,73.0,e,1607.0,16.44,5.48,0.0,0.062,56.16,42.47,1.4,4.11,0.76454,0.301,0.0001644,0.0,0.027,0.00049,20.0
694,1542,10374222847,2017-03-09T11:16:23Z,Red Velvet Roll,The Father's Table  L.L.C.,US,73.0,e,1607.0,15.07,5.48,0.0,0.062,57.53,43.84,1.4,2.74,0.76454,0.301,0.0001644,0.0,0.027,0.00049,20.0
695,1543,10374226104,2017-03-09T16:43:28Z,"The Father's Table, New York Style Cheesecake",The Father's Table Llc,US,85.0,e,1573.0,23.53,11.76,0.0,0.065,37.65,23.53,1.2,4.71,0.68834,0.271,0.0001764,0.0,0.047,0.00085,21.0
696,1544,10374226111,2017-03-09T16:43:28Z,Cheesecake,The Father's Table  L.L.C.,US,85.0,d,1377.0,17.65,8.24,0.0,0.035,37.65,22.35,1.2,3.53,0.62738,0.247,0.0001413,0.0014,0.047,0.00042,17.0
697,1545,10374299337,2017-03-10T08:10:48Z,Mango Roll,The Father's Table  L.L.C.,US,65.0,d,1289.0,9.23,2.31,0.0,0.085,53.85,32.31,0.0,4.62,0.58674,0.231,9.24e-05,0.0018,0.031,0.00055,14.0
698,1546,10374299344,2017-03-09T16:43:29Z,"The Father's Table, Fluffy Vanilla Cake Roll, Mixed Berry",The Father's Table Llc,US,65.0,d,1289.0,9.23,2.31,0.0,0.085,53.85,33.85,0.0,4.62,0.58674,0.231,4.62e-05,0.0018,0.031,0.00055,14.0
699,1547,10374299351,2017-03-09T16:43:29Z,"The Father's Table, Orange Dreamsicle Roll",The Father's Table Llc,US,65.0,d,1351.0,12.31,3.85,0.0,0.069,50.77,35.38,1.5,3.08,0.62484,0.246,9.24e-05,0.0,0.031,0.00055,14.0
700,1548,10374324084,2017-03-09T16:43:29Z,"The Father's Table, Fruit N Creme Sampler Cheesecake",The Father's Table Llc,US,113.0,d,1406.0,16.81,7.96,0.0,0.027,42.48,25.66,0.9,3.54,0.71882,0.283,0.0001326,0.0021,0.053,0.00096,18.0
701,1549,10374410022,2017-03-09T16:43:30Z,"The Father's Table, Gourmet Strawberry Swirl Cheesecake",The Father's Table Llc,US,94.0,d,1469.0,20.21,8.51,0.0,0.037,39.36,23.4,1.1,4.26,0.67564,0.266,0.0001278,0.0013,0.043,0.00077,18.0
702,1550,10374420335,2017-03-10T10:42:28Z,Party Variety Cheesecake,The Father's Table  L.L.C.,US,94.0,d,1515.0,20.21,8.51,0.0,0.043,40.43,25.53,1.1,4.26,0.6223,0.245,0.0001596,0.0,0.043,0.00115,18.0
703,1551,10374420601,2017-03-10T10:39:46Z,New York Style Cheesecake,The Father's Table Llc,US,94.0,e,1515.0,21.28,9.57,0.0,0.043,37.23,22.34,1.1,4.26,0.72898,0.287,0.0001596,0.0,0.064,0.00077,19.0
704,1552,10374420618,2017-03-10T10:39:47Z,Cheescake,The Father's Table Llc,US,94.0,d,1381.0,18.09,8.51,0.0,0.032,38.3,22.34,1.1,3.19,0.6477,0.255,0.0001596,0.0013,0.043,0.00077,17.0
705,1553,10374420670,2017-03-09T11:06:48Z,Fruit Swirl Variety Cheesecake,The Father's Table  Llc.,US,94.0,d,1293.0,15.96,7.45,0.0,0.032,39.36,24.47,1.1,3.19,0.6223,0.245,0.0001278,0.0038,0.043,0.00038,16.0
706,1554,10374440739,2017-03-09T16:43:30Z,"The Father's Table, Holiday Variety Cheesecake",The Father's Table Llc,US,94.0,d,1469.0,19.15,8.51,0.0,0.043,40.43,24.47,1.1,4.26,0.59436,0.234,0.0001596,0.0,0.043,0.00077,18.0
707,1555,10374488700,2017-03-09T16:43:30Z,"The Father's Table, Divine New York Style Cheese",The Father's Table Llc,US,142.0,e,1443.0,23.94,14.08,0.0,0.092,26.76,19.72,0.7,4.23,0.46482,0.183,0.0002112,0.0,0.106,0.00025,20.0
708,1556,10374488731,2017-03-09T16:43:31Z,Salted Caramel Turtle,"Divine,  The Father's Table Llc",US,142.0,e,1473.0,23.24,11.97,0.0,0.077,30.99,23.24,0.7,4.93,0.4826,0.19,0.0001584,0.0,0.07,0.00101,21.0
709,1557,10374727014,2017-03-09T16:43:31Z,"The Father's Table, Red Velvet Cake Roll",The Father's Table Llc,US,113.0,d,1481.0,13.27,3.98,0.0,0.075,54.87,38.94,0.9,4.42,0.62992,0.248,0.0001062,0.0,0.018,0.00064,16.0
710,1558,10374727021,2017-03-09T16:43:32Z,"The Father's Table, Cake Roll, Carrot Buttercream",The Father's Table Llc,US,113.0,d,1443.0,12.39,3.54,0.0,0.062,53.98,38.94,1.8,3.54,0.5842,0.23,0.0005973,0.0011,0.018,0.00032,15.0
711,1559,10374729001,2017-03-09T16:43:31Z,"Carmine's Bakery, Classic New York Cheesecake",The Father's Table Llc,US,170.0,e,1527.0,23.53,11.76,0.0,0.074,32.94,22.94,0.6,4.71,0.62738,0.247,0.0002205,0.0,0.059,0.00042,21.0
712,1560,10374945661,2017-03-09T16:43:32Z,"Carmine's, New York Style Cheesecake",The Father's Table Llc,US,85.0,e,1623.0,23.53,11.76,0.0,0.059,38.82,23.53,1.2,4.71,0.68834,0.271,0.0001764,0.0,0.047,0.00085,21.0
713,1561,10389573002,2017-03-10T08:49:43Z,Stuffed Salmon,Quality Foods From The Sea  Inc.,US,170.0,b,690.0,7.65,1.47,0.0,0.038,7.06,1.18,0.6,15.29,0.61214,0.241,5.28e-05,0.0035,0.024,0.00042,0.0
714,1562,10389573057,2017-03-09T21:08:21Z,"Stuffed Fillets With Shrimp, Artichoke, Seafood And Spinach",Quality Foods From The Sea  Inc.,US,170.0,b,418.0,4.12,1.76,0.0,0.047,4.71,0.59,0.6,11.76,0.8509,0.335,8.82e-05,0.0014,0.047,0.00042,0.0
715,1564,10389573156,2017-03-10T08:49:43Z,Stuffed Cod,Quality Foods,US,170.0,b,444.0,2.94,0.88,0.0,0.05,5.88,0.59,0.0,12.94,0.94234,0.371,1.77e-05,0.0007,0.035,0.00021,0.0
716,1565,10389573804,2017-03-09T21:08:22Z,Bacon Wrapped Shrimp,Quality Foods,US,85.0,d,690.0,8.24,2.94,0.0,0.118,1.18,0.0,0.0,17.65,2.98704,1.176,3.54e-05,0.0,0.047,0.0,14.0
717,1566,10389577406,2017-03-09T20:11:20Z,Shrimp & Seafood,Quality Foods,US,85.0,c,640.0,8.24,3.53,0.0,0.059,12.94,2.35,1.2,7.06,1.58496,0.624,3.54e-05,0.0042,0.047,0.00085,5.0
718,1573,10449128128,2017-03-09T15:25:18Z,Popcorn,Front Range Snacks  Inc.,US,28.0,c,2389.0,42.86,3.57,0.0,0.0,42.86,3.57,7.1,7.14,0.45466,0.179,0.0005358,0.0,0.0,0.00257,6.0
